dest;price;leave;return
BCN;2988.60227337;07/02/2014 09:35;02/03/2014 13:04
BEG;3441.49227849;07/02/2014 11:30;02/03/2014 19:19
BUD;2887.17378264;07/02/2014 09:35;05/03/2014 13:04
CDG;3375.44581941;07/02/2014 17:39;03/03/2014 13:04
COR;1339.79959848;07/02/2014 17:39;02/03/2014 09:57
CPT;3566.50879032;07/02/2014 12:45;04/03/2014 23:48
DUB;3174.94764006;07/02/2014 14:50;02/03/2014 13:04
FLO;3328.26977721;07/02/2014 20:09;02/03/2014 10:20
JFK;2915.47940796;07/02/2014 17:39;03/03/2014 13:04
KRK;4186.87374525;08/02/2014 17:39;05/03/2014 13:04
LIM;1644.08507067;07/02/2014 18:49;05/03/2014 13:04
LIS;2868.30336576;07/02/2014 13:45;05/03/2014 10:20
LON;3509.89753968;07/02/2014 17:39;02/03/2014 10:20
MEX;2054.51663781;07/02/2014 17:39;05/03/2014 13:04
MIA;2632.42315476;07/02/2014 18:30;03/03/2014 13:04
MUC;3295.24654767;08/02/2014 13:45;02/03/2014 10:20
PRG;2757.43966659;07/02/2014 04:20;05/03/2014 16:59
ROM;3078.23675355;07/02/2014 09:35;05/03/2014 13:04
SFO;2811.69211512;07/02/2014 20:09;02/03/2014 11:26
SYD;5356.83959181;07/02/2014 18:49;02/03/2014 13:04
VIE;2877.73857420;07/02/2014 09:35;03/03/2014 16:59
YMQ;3170.23003584;07/02/2014 17:39;03/03/2014 16:59
YYZ;2875.37977209;07/02/2014 17:39;03/03/2014 16:59
ZRH;3151.35961896;07/02/2014 14:50;02/03/2014 19:19
