src;dest;price;leave;return
BSB;AKL;4121.56;09/02/2014 01:55;04/03/2014 01:15
GYN;AKL;4818.41;07/02/2014 17:39;05/03/2014 09:53
SAO;AKL;4121.56;09/02/2014 02:00;04/03/2014 00:55
BSB;BCN;2677.41;08/02/2014 17:45;04/03/2014 16:15
GYN;BCN;2672.82;08/02/2014 09:35;04/03/2014 16:59
SAO;BCN;2356.48;09/02/2014 21:10;01/03/2014 17:10
BSB;BEG;3351.34;08/02/2014 17:00;03/03/2014 12:07
GYN;BEG;3346.76;08/02/2014 12:45;05/03/2014 16:59
SAO;BEG;3101.48;08/02/2014 19:20;04/03/2014 06:55
BSB;BOG;1274.52;08/02/2014 11:43;03/03/2014 23:35
GYN;BOG;1473.95;07/02/2014 18:49;04/03/2014 09:53
SAO;BOG;1114.06;08/02/2014 08:45;04/03/2014 05:50
GYN;BSB;362.18;07/02/2014 18:30;03/03/2014 18:03
BSB;BUD;2808.07;08/02/2014 08:22;03/03/2014 12:42
GYN;BUD;2805.78;08/02/2014 09:35;05/03/2014 13:04
SAO;BUD;2537.58;08/02/2014 16:20;04/03/2014 06:45
BSB;COR;944.43;08/02/2014 14:22;03/03/2014 23:35
GYN;COR;1159.90;08/02/2014 10:07;02/03/2014 09:57
SAO;COR;868.78;08/02/2014 13:20;04/03/2014 17:40
BSB;CPT;3477.42;08/02/2014 20:16;03/03/2014 20:24
GYN;CPT;3470.54;08/02/2014 12:45;05/03/2014 23:48
SAO;CPT;2996.04;08/02/2014 17:30;04/03/2014 23:59
BSB;DUB;3044.17;08/02/2014 10:20;03/03/2014 23:35
GYN;DUB;3041.88;08/02/2014 14:50;05/03/2014 23:48
SAO;DUB;2748.47;08/02/2014 15:55;01/03/2014 07:35
BSB;FLO;2723.25;09/02/2014 21:56;04/03/2014 20:21
GYN;FLO;2895.17;07/02/2014 18:30;04/03/2014 09:43
SAO;FLO;3112.94;08/02/2014 23:10;04/03/2014 05:40
BSB;KRK;2771.39;08/02/2014 11:43;03/03/2014 12:07
GYN;KRK;2764.51;08/02/2014 09:35;03/03/2014 16:59
SAO;KRK;2496.31;08/02/2014 16:20;03/03/2014 06:45
BSB;LIM;1290.56;08/02/2014 17:18;03/03/2014 09:12
GYN;LIM;1597.73;07/02/2014 18:49;05/03/2014 13:04
SAO;LIM;1100.30;08/02/2014 06:20;03/03/2014 23:30
BSB;LIS;2626.98;08/02/2014 17:45;04/03/2014 16:15
GYN;LIS;2665.94;08/02/2014 12:45;05/03/2014 10:20
SAO;LIS;2367.95;09/02/2014 15:55;04/03/2014 22:50
BSB;LON;2963.94;08/02/2014 18:37;03/03/2014 11:01
GYN;LON;3209.22;08/02/2014 13:45;05/03/2014 10:20
SAO;LON;2707.21;08/02/2014 20:40;04/03/2014 19:10
BSB;MEX;2001.18;09/02/2014 07:01;03/03/2014 08:26
GYN;MEX;1996.59;07/02/2014 18:49;04/03/2014 13:04
SAO;MEX;2095.16;08/02/2014 06:20;04/03/2014 04:55
BSB;MIA;1545.01;08/02/2014 11:43;02/03/2014 15:31
GYN;MIA;2237.28;08/02/2014 18:00;05/03/2014 11:26
SAO;MIA;2388.58;08/02/2014 09:10;04/03/2014 18:50
BSB;MUC;2817.24;09/02/2014 12:37;03/03/2014 12:07
GYN;MUC;3170.25;08/02/2014 13:45;05/03/2014 10:20
SAO;MUC;2500.90;08/02/2014 22:15;04/03/2014 17:10
BSB;NYC;2257.92;08/02/2014 10:52;03/03/2014 20:24
GYN;NYC;2530.70;07/02/2014 17:40;05/03/2014 13:04
SAO;NYC;2273.96;09/02/2014 08:45;04/03/2014 23:30
BSB;ORL;2196.02;08/02/2014 22:52;04/03/2014 07:42
GYN;ORL;2237.28;08/02/2014 18:00;05/03/2014 11:26
SAO;ORL;2633.85;08/02/2014 10:10;04/03/2014 05:40
BSB;PAR;2716.38;08/02/2014 18:37;03/03/2014 11:01
GYN;PAR;2842.45;07/02/2014 18:49;04/03/2014 09:57
SAO;PAR;2395.45;08/02/2014 22:15;04/03/2014 17:10
BSB;PRG;2881.42;08/02/2014 10:20;02/03/2014 16:34
GYN;PRG;2879.13;08/02/2014 14:50;05/03/2014 16:59
SAO;PRG;2510.07;08/02/2014 15:55;04/03/2014 07:35
BSB;ROM;2695.74;08/02/2014 18:37;03/03/2014 11:01
GYN;ROM;2835.58;07/02/2014 18:49;04/03/2014 09:57
SAO;ROM;2377.12;08/02/2014 22:15;01/03/2014 17:10
GYN;SAO;596.00;08/02/2014 17:39;04/03/2014 13:04
BSB;SCL;1311.20;08/02/2014 09:04;02/03/2014 21:23
GYN;SCL;1357.04;08/02/2014 10:07;01/03/2014 18:03
SAO;SCL;1065.92;08/02/2014 13:00;03/03/2014 21:10
BSB;SFO;2404.62;09/02/2014 21:56;04/03/2014 20:10
GYN;SFO;2675.11;08/02/2014 18:00;05/03/2014 11:26
SAO;SFO;2957.07;08/02/2014 04:10;04/03/2014 09:30
BSB;SYD;3802.93;09/02/2014 01:55;04/03/2014 01:15
GYN;SYD;4359.95;08/02/2014 18:49;05/03/2014 13:04
SAO;SYD;3472.83;09/02/2014 01:30;04/03/2014 23:59
BSB;VIE;2798.90;09/02/2014 12:37;03/03/2014 12:07
GYN;VIE;2798.90;08/02/2014 09:35;05/03/2014 16:59
SAO;VIE;2491.73;08/02/2014 15:55;04/03/2014 07:35
BSB;YEA;3353.63;08/02/2014 20:16;04/03/2014 14:10
GYN;YEA;3273.40;08/02/2014 14:50;05/03/2014 15:20
SAO;YEA;2679.70;08/02/2014 22:00;04/03/2014 10:40
BSB;YMQ;2633.85;09/02/2014 04:00;02/03/2014 08:20
GYN;YMQ;2681.99;08/02/2014 13:45;04/03/2014 09:57
SAO;YMQ;2207.48;08/02/2014 23:05;03/03/2014 10:40
BSB;YYZ;2416.08;09/02/2014 02:30;04/03/2014 00:04
